        Car#	        Laps	 Gap 1st/prv	    Last lap	    Best lap	  Last event	   Team name	  DongleData	     Tainted	         Pit

START	12:29:51
          13	           7	       1 / 1	 00:00:11,86	 00:00:11,27	 00:01:23,05	Slotrace Friends	800D049A000700CE10
          11	           6	       2 / 1	 00:00:11,83	 00:00:11,83	 00:01:24,22	PT Motorsport	800B0497000600ED8C
           9	           6	       2 / 1	 00:00:15,55	 00:00:12,94	 00:01:24,50	    WK Power	80090608000600C210
          14	           7	       1 / 1	 00:00:13,31	 00:00:11,24	 00:01:24,85	         DTM	800E052A000700B510
          12	           7	       1 / 1	 00:00:11,69	 00:00:11,51	 00:01:26,63	  DYT Racing	800C0489000700FF8C
           5	           6	       2 / 1	 00:00:12,62	 00:00:12,62	 00:01:28,33	El Kapito Dents	800504E5000600BB10
          18	           7	       1 / 1	 00:00:12,86	 00:00:11,86	 00:01:28,50	Brussels Scalex Team	801204FD000700DA10
           2	           7	       1 / 1	 00:00:13,66	 00:00:11,50	 00:01:29,50	DSCA by SV Workz	8002054C000700B110
           6	           7	       1 / 1	 00:00:12,19	 00:00:11,87	 00:01:29,54	Global Racing	800604BA000700FF8C
          10	           7	       1 / 1	 00:00:12,11	 00:00:11,98	 00:01:31,40	Sports Carazing	800A04B2000700D68C
           7	           7	       1 / 1	 00:00:11,92	 00:00:11,57	 00:01:31,95	International Racers	800704A0000700A18C
           8	           7	       1 / 1	 00:00:12,23	 00:00:11,93	 00:01:32,55	Hyper Monkeys	800804BE000700978C
          19	           8	       0 / 0	 00:00:11,36	 00:00:11,30	 00:01:33,30	         H&B	80130468000800FF10
          13	           8	       1 / 1	 00:00:11,51	 00:00:11,27	 00:01:34,72	Slotrace Friends	800D0477000800FF8C
           3	           5	       4 / 2	 00:00:19,60	 00:00:18,91	 00:01:35,20	Happy Family	8003079A000500C08C
           1	           8	       1 / 1	 00:00:13,96	 00:00:11,18	 00:01:35,48	        DSCA	8001056A000800FF8C
          11	           7	       2 / 1	 00:00:11,83	 00:00:11,83	 00:01:36,79	PT Motorsport	800B04970007008010
          16	           7	       2 / 1	 00:00:15,55	 00:00:12,14	 00:01:36,84	    DSCA 50+	80100608000700A68C
