        Car#	        Laps	 Gap 1st/prv	    Last lap	    Best lap	  Last event	   Team name	  DongleData	     Tainted	         Pit

START	12:58:39
          10	          15	       1 / 1	 00:00:09.19	 00:00:09.17	 00:02:24.34	      Wolves	800A0391001000FF12
           9	          15	       1 / 1	 00:00:09.05	 00:00:08.80	 00:02:24.63	Hyper Monkeys	80090383001000FF10
          15	          15	       1 / 1	 00:00:08.90	 00:00:08.80	 00:02:26.49	   Garage 27	800F0374001000FF8A
           4	          15	       1 / 1	 00:00:10.07	 00:00:08.86	 00:02:28.45	El Kapito Dents	800403E8001000BB10
           1	          15	       1 / 1	 00:00:08.65	 00:00:08.65	 00:02:29.02	Sports Carazing	8001035B001000FF12
           6	          15	       1 / 1	 00:00:08.66	 00:00:08.48	 00:02:30.87	Eurolink Racing	8006035C001000FF8C
           8	          16	       0 / 0	 00:00:09.11	 00:00:08.68	 00:02:30.89	      Exiles	80080389001100FF10
          11	          16	       1 / 1	 00:00:08.78	 00:00:08.78	 00:02:32.73	        DSCA	800B0368001100FF10
           9	          16	       1 / 1	 00:00:08.98	 00:00:08.80	 00:02:33.61	Hyper Monkeys	8009037C001100FF8C
          10	          16	       1 / 1	 00:00:09.11	 00:00:09.11	 00:02:33.62	      Wolves	800A0389001100FF8C
          15	          16	       1 / 1	 00:00:08.99	 00:00:08.80	 00:02:35.47	   Garage 27	800F037D001100FF10
           1	          16	       1 / 1	 00:00:09.08	 00:00:08.65	 00:02:38.30	Sports Carazing	80010386001100FF8C
           4	          16	       1 / 1	 00:00:09.86	 00:00:08.86	 00:02:38.33	El Kapito Dents	800403D3001100FF8C
           8	          17	       0 / 0	 00:00:09.14	 00:00:08.68	 00:02:39.87	      Exiles	8008038C001200FF10
          11	          17	       1 / 1	 00:00:09.01	 00:00:08.78	 00:02:41.71	        DSCA	800B037F001200FF8C
          10	          17	       1 / 1	 00:00:09.41	 00:00:09.11	 00:02:42.90	      Wolves	800A03A6001200FF8C
          15	          17	       1 / 1	 00:00:08.98	 00:00:08.80	 00:02:44.44	   Garage 27	800F037C001200FF8A
           6	          16	       2 / 1	 00:00:14.49	 00:00:08.48	 00:02:45.53	Eurolink Racing	8006059F001100FF8C
