        Car#	        Laps	 Gap 1st/prv	    Last lap	    Best lap	  Last event	   Team name	  DongleData	     Tainted	         Pit

START	10:03:59
          10	           7	       2 / 1	 00:00:15,63	 00:00:11,75	 00:01:29,62	Sports Carazing	800A0610000700FF12
          14	           8	       1 / 1	 00:00:11,15	 00:00:11,15	 00:01:30,56	         DTM	800E0453000800B68A
          20	           8	       1 / 1	 00:00:11,04	 00:00:10,90	 00:01:32,13	DSCA by SV Workz	80140448000800C810
          11	           8	       1 / 1	 00:00:11,03	 00:00:10,82	 00:01:32,62	PT Motorsport	800B0447000800FF10
           3	           7	       2 / 1	 00:00:12,44	 00:00:12,14	 00:01:32,82	Happy Family	800304D3000700FF12
          15	           8	       1 / 1	 00:00:11,18	 00:00:11,15	 00:01:33,86	Prospeed Slotracing	800F0456000800C110
           8	           8	       1 / 1	 00:00:11,33	 00:00:11,33	 00:01:34,67	Hyper Monkeys	80080465000800FF8C
          18	           8	       1 / 1	 00:00:11,47	 00:00:11,47	 00:01:37,20	Brussels Scalex Team	80120473000800ED8C
           1	           9	       0 / 0	 00:00:11,41	 00:00:10,63	 00:01:37,89	        DSCA	8001046D000900FF8C
          12	           8	       2 / 1	 00:00:12,11	 00:00:11,39	 00:01:38,62	DYT Racing Team	800C04B2000800F512
           7	           9	       1 / 1	 00:00:11,18	 00:00:10,85	 00:01:39,15	International Racers	80070456000900FF10
           4	           9	       1 / 1	 00:00:11,27	 00:00:10,91	 00:01:40,01	Slotrace Friends	8004045F000900E312
           5	           8	       2 / 1	 00:00:11,80	 00:00:11,71	 00:01:40,32	El Kapito Dents	80050494000800BA8C
          19	           9	       1 / 1	 00:00:11,08	 00:00:11,08	 00:01:40,50	         H&B	8013044C000900FD10
           6	           8	       2 / 1	 00:00:14,93	 00:00:11,27	 00:01:41,23	Global Racing	800605CA000800FF10
          10	           8	       2 / 1	 00:00:11,68	 00:00:11,68	 00:01:41,29	Sports Carazing	800A0488000800FF8C
          14	           9	       1 / 1	 00:00:11,30	 00:00:11,15	 00:01:41,93	         DTM	800E0462000900FF10
          20	           9	       1 / 1	 00:00:11,11	 00:00:10,90	 00:01:43,21	DSCA by SV Workz	8014044F000900AD8C
          11	           9	       1 / 1	 00:00:11,45	 00:00:10,82	 00:01:44,00	PT Motorsport	800B04710009000010
          16	           8	       2 / 1	 00:00:16,78	 00:00:11,75	 00:01:44,64	    DSCA 50+	80100682000800C78C
           3	           8	       2 / 1	 00:00:12,55	 00:00:12,14	 00:01:45,09	Happy Family	800304DE000800BC8A
          15	           9	       1 / 1	 00:00:11,24	 00:00:11,15	 00:01:45,23	Prospeed Slotracing	800F045C000900FF10
           8	           9	       1 / 1	 00:00:11,42	 00:00:11,33	 00:01:46,04	Hyper Monkeys	8008046E000900EE10
           1	          10	       0 / 0	 00:00:10,79	 00:00:10,63	 00:01:48,66	        DSCA	8001042F000A00FF8C
           7	          10	       1 / 1	 00:00:10,91	 00:00:10,85	 00:01:50,22	International Racers	8007043B000A00FF10
           4	          10	       1 / 1	 00:00:11,23	 00:00:10,91	 00:01:50,79	Slotrace Friends	8004045B000A00FF12
          19	          10	       1 / 1	 00:00:11,00	 00:00:11,00	 00:01:51,58	         H&B	80130444000A00FF8C
           5	           9	       2 / 1	 00:00:11,36	 00:00:11,36	 00:01:51,70	El Kapito Dents	80050468000900E38C
           6	           9	       2 / 1	 00:00:11,27	 00:00:11,27	 00:01:52,30	Global Racing	8006045F000900FF10
          10	           9	       2 / 1	 00:00:11,42	 00:00:11,42	 00:01:52,66	Sports Carazing	800A046E000900FF8C
          14	          10	       1 / 1	 00:00:11,26	 00:00:11,15	 00:01:53,00	         DTM	800E045E000A00808A
          18	           9	       2 / 1	 00:00:16,01	 00:00:11,47	 00:01:53,06	Brussels Scalex Team	80120635000900C310
          12	           9	       2 / 1	 00:00:15,49	 00:00:11,39	 00:01:53,88	DYT Racing Team	800C0602000900BF12
          15	          10	       1 / 1	 00:00:11,30	 00:00:11,15	 00:01:56,60	Prospeed Slotracing	800F0462000A00FF10
          20	          10	       1 / 1	 00:00:13,82	 00:00:10,90	 00:01:56,97	DSCA by SV Workz	8014055C000A00AD8C
