        Car#	        Laps	 Gap 1st/prv	    Last lap	    Best lap	  Last event	   Team name	  DongleData	     Tainted	         Pit

START	08:49:58
           8	        2371	     40 / 40	 00:00:09.44	 00:00:08.12	 00:03:00.88	      Exiles	800803A9001300FF8C
          15	        2299	    112 / 45	 00:00:08.63	 00:00:08.57	 00:03:01.87	   Garage 27	800F0359001400FF10
           9	        2411	       0 / 0	 00:00:08.99	 00:00:07.90	 00:03:05.40	Hyper Monkeys	8009037D001300FF8C
           6	        2249	    163 / 50	 00:00:09.07	 00:00:08.24	 00:03:05.95	Eurolink Racing	80060385001300FF10
          11	        2299	     113 / 1	 00:00:08.80	 00:00:08.12	 00:03:08.11	        DSCA	800B036A001400FF8C
          10	        2344	     68 / 28	 00:00:08.63	 00:00:08.27	 00:03:09.00	      Wolves	800A0359000E00FF8C
           4	        2194	    218 / 56	 00:00:09.07	 00:00:08.09	 00:03:10.42	El Kapito Dents	800403850014008010
           8	        2372	     40 / 40	 00:00:09.36	 00:00:08.12	 00:03:10.46	      Exiles	800803A1001400FF10
          15	        2300	    112 / 45	 00:00:08.84	 00:00:08.57	 00:03:10.55	   Garage 27	800F036E001500FF8A
           9	        2412	       0 / 0	 00:00:08.93	 00:00:07.90	 00:03:14.08	Hyper Monkeys	80090377001400FF8C
           6	        2250	    163 / 50	 00:00:09.20	 00:00:08.24	 00:03:14.93	Eurolink Racing	80060392001400FF10
          11	        2300	     113 / 1	 00:00:08.69	 00:00:08.12	 00:03:16.79	        DSCA	800B035F001500FF10
           4	        2195	    218 / 56	 00:00:08.78	 00:00:08.09	 00:03:18.80	El Kapito Dents	80040368001500FF8C
           8	        2373	     40 / 40	 00:00:08.89	 00:00:08.12	 00:03:19.14	      Exiles	80080373001500FF8C
          15	        2301	    112 / 44	 00:00:08.98	 00:00:08.57	 00:03:19.53	   Garage 27	800F037C001600FF10
          10	        2345	     68 / 29	 00:00:11.39	 00:00:08.27	 00:03:20.37	      Wolves	800A046B000F00FF8C
           9	        2413	       0 / 0	 00:00:08.92	 00:00:07.90	 00:03:23.06	Hyper Monkeys	80090376001500FF10
           6	        2251	    163 / 50	 00:00:09.07	 00:00:08.24	 00:03:24.20	Eurolink Racing	80060385001500FF10
          11	        2301	     113 / 1	 00:00:08.69	 00:00:08.12	 00:03:25.47	        DSCA	800B035F001600FF8C
           4	        2196	    218 / 56	 00:00:08.42	 00:00:08.09	 00:03:27.18	El Kapito Dents	80040344001600FF8C
           8	        2374	     40 / 40	 00:00:08.75	 00:00:08.12	 00:03:28.11	      Exiles	80080365001600FF10
          15	        2302	    112 / 44	 00:00:08.90	 00:00:08.57	 00:03:28.50	   Garage 27	800F0374001700FF8A
          10	        2346	     68 / 29	 00:00:08.95	 00:00:08.27	 00:03:29.35	      Wolves	800A0379001000FF8C
           9	        2414	       0 / 0	 00:00:08.90	 00:00:07.90	 00:03:32.03	Hyper Monkeys	80090374001600FF8C
           6	        2252	    163 / 50	 00:00:09.11	 00:00:08.24	 00:03:33.18	Eurolink Racing	80060389001600FF10
          11	        2302	     113 / 1	 00:00:08.81	 00:00:08.12	 00:03:34.45	        DSCA	800B036B001700FF8C
           4	        2197	    218 / 56	 00:00:08.75	 00:00:08.09	 00:03:35.86	El Kapito Dents	80040365001700FF8C
